player_id,player_name,first_name,last_name,age,nationality,team_id,team_name,position_line,role,games,starts,minutes,rating,goals,assists,shots_total,shots_on_target,passes_total,key_passes,pass_accuracy,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_successful,fouls_drawn,fouls_committed,yellow_cards,red_cards,pos_group,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,key_passes_per90,tackles_per90,blocks_per90,interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempted_per90,dribbles_successful_per90,fouls_committed_per90,fouls_drawn_per90,yellow_per90,red_per90,shot_efficiency,duel_efficiency,dribble_efficiency,z_goals_per90,z_assists_per90,z_shots_per90,z_shots_on_target_per90,z_tackles_per90,z_interceptions_per90,z_duels_total_per90,z_duels_won_per90,z_dribbles_attempted_per90,z_dribbles_successful_per90,z_key_passes_per90,reliability,fair_score,forecast_score,player_tier
1177,G. Valsvik,Gustav,Valsvik,32.0,Norway,324,Stromsgodset,Defender,Stopper,29,29,2610,7.24,2,1,21.0,8.0,1776,10.0,84.4,36.0,37.0,42.0,267,180,8.0,6.0,25,18.0,4,0,DEF,0.06896551724137931,0.034482758620689655,0.7241379310344828,0.27586206896551724,61.241379310344826,0.3448275862068965,1.2413793103448276,1.2758620689655171,1.4482758620689655,9.206896551724139,6.206896551724138,0.27586206896551724,0.20689655172413793,0.6206896551724138,0.8620689655172413,0.13793103448275862,0.0,0.09523809523809523,0.6741573033707865,0.75,-0.02277371415318395,-0.3406047117112633,0.5533997578231219,0.10681870700236216,-0.6168231231988681,1.2484063718598974,0.4695436613590198,1.3699218393902448,-0.8540457936243767,-0.7157685144319722,-0.6508422003355997,1.0,0.34337349397590344,0.30903614457831313,senior
39170,B. Sørmo,Bent,Langåssve Sørmo,29.0,Norway,324,Stromsgodset,Defender,Back,20,6,975,6.67,0,0,1.0,1.0,582,4.0,89.1,26.0,8.0,16.0,101,61,8.0,5.0,23,14.0,1,0,DEF,0.0,0.0,0.09230769230769231,0.09230769230769231,53.72307692307692,0.36923076923076925,2.4000000000000004,0.7384615384615385,1.476923076923077,9.323076923076922,5.630769230769231,0.7384615384615385,0.46153846153846156,1.2923076923076924,2.123076923076923,0.09230769230769231,0.0,0.0,0.6039603960396039,0.625,-0.6545863589900254,-0.799283707826718,-1.223441415264167,-0.7894025832195278,1.0854335790559393,1.3245377501345943,0.5255843814809306,0.8785658792606241,-0.27629925632546987,-0.08118314988164464,-0.6008362937927741,1.0,0.11037005163511211,0.10595524956970763,senior
39340,H. Stengel,Herman,Sørby Stengel,30.0,Norway,324,Stromsgodset,Midfielder,Sentral midt,29,29,2575,7.03,3,1,14.0,8.0,1081,43.0,87.4,22.0,7.0,26.0,94,38,10.0,2.0,7,9.0,0,0,MID,0.10485436893203884,0.03495145631067961,0.4893203883495146,0.2796116504854369,37.78252427184466,1.5029126213592232,0.7689320388349514,0.2446601941747573,0.9087378640776699,3.2854368932038835,1.3281553398058252,0.34951456310679613,0.06990291262135923,0.3145631067961165,0.2446601941747573,0.0,0.0,0.21428571428571427,0.40425531914893614,0.2,-0.4311237861449097,-0.7327919457500024,-1.068954061153471,-0.8155380741163603,-1.10286993246168,0.40723085938217757,-2.37544467381964,-2.333489805257373,-1.4107651170780595,-1.3505830079390722,0.654593547294983,1.0,0.40877796901893315,0.3883390705679865,senior
48034,P. Kristian Bråtveit,Per Kristian,Worre Bråtveit,29.0,Norway,324,Stromsgodset,Goalkeeper,Goalkeeper,25,25,2219,7.13,0,0,,,935,,62.1,,,,15,15,,,2,,1,0,GK,0.0,0.0,,,37.92248760703019,,,,,0.6083821541234791,0.6083821541234791,,,,0.08111762054979721,0.040558810274898605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4518072289156625,0.433734939759036,senior
138732,F. Dahl,Fredrik,Kristensen Dahl,26.0,Norway,324,Stromsgodset,Defender,Back,29,28,2323,6.98,2,3,7.0,4.0,1298,20.0,89.6,62.0,18.0,41.0,209,131,18.0,11.0,20,20.0,1,0,DEF,0.07748600947051226,0.11622901420576841,0.27120103314679295,0.15497201894102453,50.28842014636246,0.7748600947051227,2.4020662935858805,0.6973740852346104,1.5884631941455014,8.097287989668533,5.0753336203185535,0.6973740852346104,0.42617305208781747,0.7748600947051227,0.7748600947051227,0.03874300473525613,0.0,0.2857142857142857,0.6267942583732058,0.6111111111111112,0.05528492944051961,0.7467587112796147,-0.7203552473172421,-0.48343818896863877,1.0884693975397586,1.6209610813487865,-0.06568670627523206,0.40485705182500287,-0.3276139148877678,-0.1693162119729273,0.2303611004511223,1.0,0.23709122203098118,0.23472030981067138,senior
151240,J. Taaje,Jesper,Taaje,28.0,Norway,324,Stromsgodset,Defender,Stopper,26,25,2158,7.08,4,0,17.0,6.0,1351,3.0,89.7,29.0,22.0,39.0,199,125,6.0,4.0,7,11.0,5,0,DEF,0.16682113067655235,0.0,0.7089898053753475,0.25023169601482853,56.34383688600556,0.12511584800741427,1.2094531974050047,0.917516218721038,1.6265060240963856,8.29935125115848,5.213160333642262,0.25023169601482853,0.16682113067655235,0.458758109360519,0.2919369786839666,0.20852641334569044,0.0,0.23529411764705882,0.628140703517588,0.6666666666666666,0.8737092879276354,-0.799283707826718,0.5108000028311956,-0.01832396915161028,-0.6637292765361886,1.7220617674845995,0.0317804523525693,0.5224039457033113,-0.8860559021488685,-0.8156392532806307,-1.1010656255345588,1.0,0.27796901893287423,0.269629948364888,senior
15904,U. Yttergård Jenssen,Ulrik,Yttergård Jenssen,29.0,Norway,331,Rosenborg,Defender,Stopper,25,18,1523,6.93,2,2,8.0,6.0,1070,21.0,83.1,20.0,3.0,18.0,93,39,4.0,1.0,3,13.0,8,0,DEF,0.11818778726198292,0.11818778726198292,0.4727511490479317,0.35456336178594877,63.23046618516087,1.2409717662508208,1.1818778726198294,0.17728168089297439,1.0636900853578464,5.4957321076822065,2.304661851608667,0.23637557452396585,0.05909389363099146,0.7682206172028891,0.17728168089297439,0.4727511490479317,0.0,0.25,0.41935483870967744,0.25,0.42816544864238176,0.7728137049918465,-0.1535534033673293,0.49108507797070083,-0.7042432099153587,0.2263508109626704,-1.3205722206381014,-1.9581381362213486,-0.9033609937877766,-1.0841030267514005,1.1854962015988992,1.0,0.21665232358003392,0.20798623063683255,senior
39134,A. Pereira,Adrian Nilsen,Pereira,26.0,Norway,331,Rosenborg,Defender,Back,23,19,1713,7.11,1,1,17.0,9.0,942,22.0,79.3,37.0,4.0,20.0,221,118,74.0,31.0,37,27.0,5,0,DEF,0.05253940455341506,0.05253940455341506,0.8931698774080561,0.47285464098073554,49.492119089316986,1.1558669001751314,1.9439579684763573,0.21015761821366025,1.0507880910683012,11.611208406304728,6.199649737302977,3.8879159369527145,1.6287215411558669,1.4185639229422067,1.9439579684763573,0.2626970227670753,0.0,0.058823529411764705,0.5339366515837104,0.4189189189189189,-0.17325798682885896,-0.10042078905185699,1.0287535846498859,1.068653234024964,0.4154122238339285,0.19206312845121082,1.6292866210299373,1.3637413210772285,3.657095598388557,2.827518330625088,1.0111031326636963,1.0,0.2902323580034423,0.2873300344234079,senior
39333,L. Vilsvik,Lars-Christopher Horst Jan,Vilsvik,37.0,Norway,324,Stromsgodset,Defender,Stopper,28,26,2073,6.91,2,3,9.0,4.0,1019,26.0,83.6,34.0,1.0,19.0,120,75,14.0,10.0,14,14.0,2,0,DEF,0.08683068017366137,0.13024602026049203,0.39073806078147616,0.17366136034732274,44.24023154848046,1.1287988422575976,1.476121562952243,0.043415340086830685,0.824891461649783,5.209840810419681,3.256150506512301,0.6078147612156295,0.4341534008683068,0.6078147612156295,0.6078147612156295,0.08683068017366137,0.0,0.2222222222222222,0.625,0.7142857142857143,0.14089410556576637,0.9332085929856363,-0.38419167142099364,-0.3921857439246598,-0.27193753952929817,-0.40826824172985776,-1.4584746389952394,-1.146651500233105,-0.4394657278420023,-0.14942862731022105,0.955636484186084,1.0,0.2084767641996557,0.18762908777969012,senior
55410,S. Väänänen,Santeri Leevi Oliver,Väänänen,23.0,Finland,331,Rosenborg,Midfielder,Sentral midt,22,18,1583,6.84,1,0,8.0,2.0,642,6.0,86.2,47.0,5.0,26.0,163,73,17.0,4.0,13,27.0,4,0,MID,0.05685407454200884,0.0,0.4548325963360707,0.11370814908401768,36.50031585596968,0.34112444725205304,2.672141503474416,0.28427037271004424,1.4782059380922299,9.26721415034744,4.1503474415666455,0.9665192672141503,0.22741629816803535,1.5350600126342386,0.7391029690461149,0.22741629816803535,0.0,0.125,0.44785276073619634,0.23529411764705882,-0.7586370987571287,-1.0480036954683571,-1.131325547068195,-1.3193350443752223,1.4081651705202187,1.842529190699496,-0.2445210694266819,-0.3324557571695694,-0.8781564230545735,-1.0662091562799525,-1.4187442732447688,1.0,0.32702237521514604,0.333562822719449,u23
